activity_event_id,asset_id,geo,origin_measurement_timestamp,scope,category,activity,source,raw_data,units
2022_12_gas_253,gas_253,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,2.5,gal
2022_12_gas_252,gas_252,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,12.67,gal
2022_12_gas_251,gas_251,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3.84,gal
2022_12_gas_250,gas_250,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,17.8,gal
2022_12_gas_249,gas_249,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,6288.58,gal
2022_12_gas_248,gas_248,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,17.67,gal
2022_12_gas_247,gas_247,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,47.65,gal
2022_12_gas_246,gas_246,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,4469.94,gal
2022_12_gas_245,gas_245,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,0.73,gal
2022_12_gas_244,gas_244,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,421.76,gal
2022_12_gas_243,gas_243,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,62.28,gal
2022_12_gas_242,gas_242,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,36.89,gal
2022_12_gas_241,gas_241,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,31.33,gal
2022_12_gas_240,gas_240,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,1.69,gal
2022_12_gas_239,gas_239,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,8631.98,gal
2022_12_gas_238,gas_238,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,6523.1,gal
2022_12_gas_237,gas_237,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11822.72,gal
2022_12_gas_236,gas_236,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11774.42,gal
2022_12_gas_235,gas_235,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,125.45,gal
2022_12_gas_234,gas_234,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,7826.53,gal
2022_12_gas_233,gas_233,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,4555.11,gal
2022_12_gas_232,gas_232,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,445.33,gal
2022_12_gas_231,gas_231,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,5480.21,gal
2022_12_gas_230,gas_230,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11662.64,gal
2022_12_gas_229,gas_229,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,6486.39,gal
2022_12_gas_228,gas_228,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,30.58,gal
2022_12_gas_227,gas_227,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,10.87,gal
2022_12_gas_226,gas_226,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,424.25,gal
2022_12_gas_225,gas_225,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,35.01,gal
2022_12_gas_224,gas_224,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,476.7,gal
2022_12_gas_223,gas_223,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,173.54,gal
2022_12_gas_222,gas_222,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,28.84,gal
2022_12_gas_221,gas_221,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,2.19,gal
2022_12_gas_220,gas_220,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,21.72,gal
2022_12_gas_219,gas_219,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,150.42,gal
2022_12_gas_218,gas_218,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,53.54,gal
2022_12_gas_217,gas_217,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11.26,gal
2022_12_gas_216,gas_216,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,160.02,gal
2022_12_gas_215,gas_215,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,205.5,gal
2022_12_gas_214,gas_214,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,8.98,gal
2022_12_gas_213,gas_213,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,50.84,gal
2022_12_gas_212,gas_212,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,17.61,gal
2022_12_gas_211,gas_211,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,2291.16,gal
2022_12_gas_210,gas_210,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,54.95,gal
2022_12_gas_209,gas_209,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,900.59,gal
2022_12_gas_208,gas_208,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,17.19,gal
2022_12_gas_207,gas_207,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,18.57,gal
2022_12_gas_206,gas_206,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3.81,gal
2022_12_gas_205,gas_205,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,65.68,gal
2022_12_gas_204,gas_204,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,0.75,gal
2022_12_gas_203,gas_203,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,55.54,gal
2022_12_gas_202,gas_202,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,22.35,gal
2022_12_gas_201,gas_201,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,19.5,gal
2022_12_gas_200,gas_200,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,38.18,gal
2022_12_gas_198,gas_198,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11.18,gal
2022_12_gas_197,gas_197,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,127.42,gal
2022_12_gas_196,gas_196,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,31.76,gal
2022_12_gas_195,gas_195,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,32.85,gal
2022_12_gas_194,gas_194,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,31.86,gal
2022_12_gas_193,gas_193,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,79.89,gal
2022_12_gas_192,gas_192,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,14.13,gal
2022_12_gas_191,gas_191,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,56.68,gal
2022_12_gas_190,gas_190,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,5.43,gal
2022_12_gas_189,gas_189,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,36.69,gal
2022_12_gas_188,gas_188,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,42.01,gal
2022_12_gas_187,gas_187,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,0.61,gal
2022_12_gas_186,gas_186,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,12628.43,gal
2022_12_gas_185,gas_185,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,12.26,gal
2022_12_gas_184,gas_184,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,1.63,gal
2022_12_gas_183,gas_183,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,6.56,gal
2022_12_gas_182,gas_182,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,25.11,gal
2022_12_gas_181,gas_181,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,105.71,gal
2022_12_gas_180,gas_180,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11.61,gal
2022_12_gas_179,gas_179,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,76.8,gal
2022_12_gas_178,gas_178,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,4.55,gal
2022_12_gas_177,gas_177,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,40.82,gal
2022_12_gas_175,gas_175,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,6.56,gal
2022_12_gas_174,gas_174,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,24.34,gal
2022_12_gas_173,gas_173,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,6.07,gal
2022_12_gas_172,gas_172,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,0.01,gal
2022_12_gas_171,gas_171,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,6.45,gal
2022_12_gas_170,gas_170,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,9365.2,gal
2022_12_gas_169,gas_169,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,14.8,gal
2022_12_gas_168,gas_168,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,50.15,gal
2022_12_gas_167,gas_167,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,26.78,gal
2022_12_gas_166,gas_166,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,1995.74,gal
2022_12_gas_165,gas_165,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,23.7,gal
2022_12_gas_164,gas_164,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,7264.74,gal
2022_12_gas_163,gas_163,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,8941.58,gal
2022_12_gas_162,gas_162,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11607.13,gal
2022_12_gas_161,gas_161,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11758.75,gal
2022_12_gas_160,gas_160,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11.85,gal
2022_12_gas_159,gas_159,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,31.3,gal
2022_12_gas_158,gas_158,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,2543.81,gal
2022_12_gas_157,gas_157,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,53.79,gal
2022_12_gas_156,gas_156,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,2.76,gal
2022_12_gas_155,gas_155,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,36.5,gal
2022_12_gas_154,gas_154,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,15.3,gal
2022_12_gas_153,gas_153,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,8.09,gal
2022_12_gas_152,gas_152,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,334.2,gal
2022_12_gas_151,gas_151,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3066.58,gal
2022_12_gas_150,gas_150,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,9.38,gal
2022_12_gas_149,gas_149,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,32.8,gal
2022_12_gas_148,gas_148,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3696.91,gal
2022_12_gas_147,gas_147,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,6.73,gal
2022_12_gas_146,gas_146,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,203.24,gal
2022_12_gas_145,gas_145,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,218.59,gal
2022_12_gas_144,gas_144,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,2607.66,gal
2022_12_gas_143,gas_143,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3395.24,gal
2022_12_gas_142,gas_142,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,10522.47,gal
2022_12_gas_141,gas_141,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,7635.19,gal
2022_12_gas_140,gas_140,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,6907.18,gal
2022_12_gas_139,gas_139,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,30.85,gal
2022_12_gas_138,gas_138,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,37354.76,gal
2022_12_gas_137,gas_137,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3897.08,gal
2022_12_gas_136,gas_136,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,34.37,gal
2022_12_gas_135,gas_135,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,35.92,gal
2022_12_gas_134,gas_134,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,68.51,gal
2022_12_gas_133,gas_133,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,9.63,gal
2022_12_gas_132,gas_132,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,87874.06,gal
2022_12_gas_131,gas_131,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,31.93,gal
2022_12_gas_130,gas_130,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,194.41,gal
2022_12_gas_129,gas_129,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,110.12,gal
2022_12_gas_128,gas_128,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3.09,gal
2022_12_gas_127,gas_127,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,48.44,gal
2022_12_gas_126,gas_126,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,7.16,gal
2022_12_gas_125,gas_125,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,1640.97,gal
2022_12_gas_124,gas_124,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,41.45,gal
2022_12_gas_123,gas_123,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,10.43,gal
2022_12_gas_122,gas_122,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,17.21,gal
2022_12_gas_121,gas_121,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,20.73,gal
2022_12_gas_120,gas_120,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,2.67,gal
2022_12_gas_119,gas_119,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,38.75,gal
2022_12_gas_118,gas_118,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3.62,gal
2022_12_gas_117,gas_117,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,47.14,gal
2022_12_gas_116,gas_116,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,381.96,gal
2022_12_gas_115,gas_115,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,1.49,gal
2022_12_gas_114,gas_114,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3776.89,gal
2022_12_gas_113,gas_113,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3755.25,gal
2022_12_gas_112,gas_112,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,57.51,gal
2022_12_gas_111,gas_111,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,0.7,gal
2022_12_gas_109,gas_109,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,0.84,gal
2022_12_gas_108,gas_108,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,39.37,gal
2022_12_gas_107,gas_107,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,7424.44,gal
2022_12_gas_106,gas_106,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,18.82,gal
2022_12_gas_105,gas_105,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,0.35,gal
2022_12_gas_102,gas_102,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,14.19,gal
2022_12_gas_101,gas_101,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,13.1,gal
2022_12_gas_100,gas_100,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,5125.99,gal
2022_12_gas_099,gas_099,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,3.27,gal
2022_12_gas_098,gas_098,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,11.47,gal
2022_12_gas_097,gas_097,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,143.56,gal
2022_12_gas_096,gas_096,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,1.33,gal
